队伍,玩家,积分,队伍积分最高选手,最大积分,吞噬数,吃掉刺球数,死亡次数,分身次数,吃豆数,第一次扎刺时间,友方处获得积分,炸刺获得积分,吞噬获得积分,本局游戏剩余时间,比赛开始时间,本局名,单局比赛唯一ID,MVP
JOKER,Ostyle,83,0,297,7,0,1,2,312,00:00,0,0,221,0,2017140519,总决赛第一场,6,0
JOKER,Pian,7127,1,7136,33,35,0,3,2980,02:40,706,3920,5077,0,2017140519,总决赛第一场,1,1
JOKER,Jokbao,70,0,92,1,0,6,1,252,00:00,0,0,32,0,2017140519,总决赛第一场,7,0
JOKER,Ls,760,0,836,8,1,1,2,374,04:20,0,100,1069,0,2017140519,总决赛第一场,9,0
JOKER,key,278,0,780,7,2,0,2,487,07:10,535,235,153,0,2017140519,总决赛第一场,8,0
JOKER,队伍统计,8318,(〃′o`)(7127),9141,56,38,8,10,4405,泡泡终结者(07:10),1241,4255,6552,0,2017140519,总决赛第一场,*,*
,
LK,LK Tang,11,0,710,2,3,4,3,554,08:50,0,300,188,0,2017140519,总决赛第一场,17,0
LK,LK Huba,36,0,784,3,1,11,2,296,09:31,0,135,637,0,2017140519,总决赛第一场,16,0
LK,LK Aqi,0,0,73,0,0,12,0,206,00:00,0,0,0,0,2017140519,总决赛第一场,19,0
LK,LK MUMU,44,0,64,3,0,10,0,198,00:00,0,0,38,0,2017140519,总决赛第一场,18,0
LK,LK PuTao,1239,1,1584,15,1,0,4,616,06:20,208,100,2259,0,2017140519,总决赛第一场,15,0
LK,队伍统计,1330,毛毛smile(1239),3215,23,5,37,9,1870,飞翔(09:31),208,535,3122,0,2017140519,总决赛第一场,*,*
,
Huya-619,Huya619_Assa,17,1,352,6,2,5,4,385,03:44,0,200,215,0,2017140519,总决赛第一场,13,0
Huya-619,Huya619_Star,78,0,201,1,0,4,3,363,00:00,0,0,45,0,2017140519,总决赛第一场,10,0
Huya-619,Huya619_Bdao,14,0,113,3,0,8,2,227,00:00,0,0,60,0,2017140519,总决赛第一场,14,0
Huya-619,Huya619_Xuan,29,0,440,5,2,9,2,324,04:46,0,235,106,0,2017140519,总决赛第一场,12,0
Huya-619,Huya619_Bxian,920,1,932,4,1,8,0,221,11:44,0,135,767,0,2017140519,总决赛第一场,11,0
Huya-619,队伍统计,1058,飞翔(920),2038,19,5,34,11,1520,飞翔(11:44),0,570,1193,0,2017140519,总决赛第一场,*,*
,
FT,Sup,761,1,1230,6,2,0,3,441,07:20,0,235,1809,0,2017140519,总决赛第一场,27,0
FT,GuMang,49,0,56,0,0,9,1,210,00:00,0,0,0,0,2017140519,总决赛第一场,26,0
FT,MingChen,49,1,129,5,0,5,0,314,00:00,0,0,103,0,2017140519,总决赛第一场,25,0
FT,Moon,12,0,105,1,0,9,2,303,00:00,0,0,25,0,2017140519,总决赛第一场,28,0
FT,Ychen,50,0,131,5,0,8,2,234,00:00,0,0,80,0,2017140519,总决赛第一场,29,0
FT,队伍统计,921,毛毛smile(761),1651,17,2,31,8,1502,毛毛smile(07:20),0,235,2017,0,2017140519,总决赛第一场,*,*
,
FOX,Fox_Wolf,0,0,182,2,0,9,0,273,00:00,0,0,79,0,2017140519,总决赛第一场,20,0
FOX,Fox_monkey,241,1,1080,11,5,0,3,864,06:06,0,500,507,0,2017140519,总决赛第一场,22,0
FOX,Fox_leopard,61,0,912,10,5,3,4,599,05:45,0,535,370,0,2017140519,总决赛第一场,23,0
FOX,Fox_rabbit,11,0,71,0,0,9,0,236,00:00,0,0,0,0,2017140519,总决赛第一场,21,0
FOX,Fox_snake,18,0,109,3,0,8,0,238,00:00,0,0,39,0,2017140519,总决赛第一场,24,0
FOX,队伍统计,331,JoooooL(241),2354,26,10,29,7,2210,JoooooL(06:06),0,1035,995,0,2017140519,总决赛第一场,*,*
,
TWS,Mu,0,0,1280,7,4,4,2,658,07:07,0,470,920,0,2017140519,总决赛第一场,3,0
TWS,Xiang,60,0,162,1,0,4,1,347,00:00,0,0,68,0,2017140519,总决赛第一场,2,0
TWS,Lang,126,1,126,2,0,9,0,271,00:00,0,0,51,0,2017140519,总决赛第一场,4,0
TWS,Lun,0,0,88,4,0,10,2,189,00:00,0,0,53,0,2017140519,总决赛第一场,30,0
TWS,Chen,0,0,12,0,0,5,0,4,00:00,0,0,0,0,2017140519,总决赛第一场,5,0
TWS,队伍统计,186,吃个球球(126),1668,14,4,32,5,1469,毛毛smile(07:07),0,470,1092,0,2017140519,总决赛第一场,*,*
,
